user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,1967-06-04 00:14:00,Mumbai,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,VERIFIED,LOW
USR17216,Megha Jani,,023412025028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,2024-01-31 00:00:00,VERIFIED,MEDIUM
USR45454,Panini Lal,QCNTL9489O,278162999816,,Kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,PENDING,HIGH
USR46189,Jack Parikh,RRVUI4059Q,066780327731,,Amritsar,Punjab,27300.0,Student,2025-09-04 00:00:00,VERIFIED,LOW
USR85256,Eta Ravi,YGVOI9236W,176258817110,1969-02-19 08:25:23,Delhi,Delhi,24705.0,Salaried,2026-02-03 00:00:00,VERIFIED,LOW
USR20918,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20 00:00:00,Bengaluru,Karnataka,14124.0,Self Employed,2024-04-25 00:00:00,REJECTED,MEDIUM
USR22494,Nirja Shetty,JWZVO4240H,,1990-09-05 00:00:00,Chennai,Tamil Nadu,16160.0,Retired,,REJECTED,MEDIUM
USR34742,Ati Dash,OOQCG9609N,985048780290,1962-12-20 00:00:00,Jaipur,Rajasthan,43738.0,Unemployed,2025-07-25 00:00:00,VERIFIED,HIGH
USR83137,Ria Kale,,,2005-09-09 00:00:00,Jaipur,Rajasthan,25151.0,Freelancer,2024-03-04 00:00:00,PENDING,LOW
USR99161,Jalsa Malhotra,QLSKS5105S,944300371193,1963-05-20 05:27:00,Jalandhar,Punjab,,Retired,,REJECTED,LOW
USR16625,Anika Vora,CACWZ2722S,017979940718,,Lucknow,Uttar Pradesh,28634.0,Unemployed,2026-03-08 00:00:00,VERIFIED,MEDIUM
USR65060,Anirudh Bhatnagar,AIWTB3506U,,2003-06-16 00:00:00,Jaipur,Rajasthan,30875.0,Student,2024-05-24 07:29:05,VERIFIED,LOW
USR13678,Reva Jaggi,,577479489696,1982-05-27 00:00:00,Jaipur,Rajasthan,24200.0,Gig Worker,2024-02-16 00:00:00,PENDING,LOW
USR78719,Indira Chaudhary,VGLXS2856D,624494538280,1977-04-17 07:18:29,Ludhiana,Punjab,20231.0,Student,2024-01-30 00:00:00,VERIFIED,LOW
USR83333,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24 03:28:00,Hyderabad,Telangana,24890.0,Freelancer,2025-07-10 08:23:10,REJECTED,LOW
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20 20:31:53,Delhi,Delhi,26617.0,Business Owner,2024-01-03 00:50:12,VERIFIED,LOW
USR77711,Warinder Solanki,MFDIC1823G,,1987-07-15 00:00:00,Pune,Maharashtra,,Gig Worker,2025-04-06 14:45:00,PENDING,HIGH
USR69726,Rudra Lal,CXBKD3190N,976073035125,,Kolkata,West Bengal,17700.0,Student,2024-12-30 00:00:00,VERIFIED,LOW
USR53544,Daniel Gokhale,UFLEH5366C,,1998-07-16 00:00:00,Lucknow,Uttar Pradesh,32124.0,Self Employed,2025-10-12 00:00:00,VERIFIED,HIGH
USR57699,Advik Om,MXMQW7893W,,1999-04-26 00:00:00,Lucknow,Uttar Pradesh,19875.0,Freelancer,2024-04-06 00:00:00,VERIFIED,LOW
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,1967-06-02 00:00:00,Hyderabad,Telangana,13098.0,Retired,2026-01-12 00:00:00,VERIFIED,LOW
USR26959,Ganga Pai,JXFNR4730M,149449272703,1966-07-04 00:00:00,Amritsar,Punjab,19624.0,Retired,2026-02-12 00:00:00,VERIFIED,UNKNOWN
USR13068,Megha Chandra,AVJUN6708Q,282909798427,1993-10-09 13:31:00,Kolkata,West Bengal,25378.0,Self Employed,2024-02-18 00:00:00,VERIFIED,LOW
USR32767,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18 00:00:00,Delhi,Delhi,17051.0,Gig Worker,2024-11-10 00:00:00,VERIFIED,HIGH
USR86400,Qadim Nayak,AQHFS2686A,945287372343,1978-06-09 00:00:00,Hyderabad,Telangana,19485.0,Retired,2026-02-06 04:09:04,VERIFIED,LOW
USR72012,Liam Varkey,CNIVL5277X,,2004-08-25 00:00:00,Mumbai,Maharashtra,,Salaried,2025-09-08 15:25:17,PENDING,LOW
USR65078,Anamika Chaudhary,EYKUP2541J,871855606283,1987-09-01 00:00:00,Jaipur,Rajasthan,16714.0,Freelancer,2024-10-11 16:26:00,VERIFIED,LOW
USR37121,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29 00:00:00,Bengaluru,Karnataka,31824.0,Self Employed,2025-02-16 00:00:00,VERIFIED,LOW
USR64308,Vedant Lalla,,843937681323,1990-02-13 00:00:00,Kolkata,West Bengal,10907.0,Retired,2026-03-08 00:00:00,VERIFIED,MEDIUM
USR13880,Krisha Borra,YWBSY7212H,,2003-09-23 00:00:00,Hyderabad,Telangana,21188.0,Farmer,2024-06-29 05:51:04,VERIFIED,LOW
USR56830,Ekapad Dalal,FPHDL6481K,744698471442,1960-12-23 00:00:00,Jaipur,Rajasthan,22808.0,Business Owner,2024-12-05 18:28:30,VERIFIED,HIGH
USR95322,Advik Sahota,QEHZG5598Z,738867861215,,Kolkata,West Bengal,35085.0,Farmer,2024-03-12 00:00:00,VERIFIED,HIGH
USR23760,Saksham Dave,XSGLB7836O,982003027776,2003-10-20 16:41:57,Lucknow,Uttar Pradesh,,Gig Worker,2024-04-07 00:00:00,VERIFIED,MEDIUM
USR28092,Jack Lanka,VANEO2162B,995050559108,1990-09-14 00:00:00,Delhi,Delhi,47900.0,Freelancer,2024-12-27 00:00:00,VERIFIED,LOW
USR41268,Onkar Ratta,MTPRE0507U,095974642287,2006-08-28 00:00:00,Jalandhar,Punjab,35166.0,Retired,2024-08-09 00:00:00,PENDING,LOW
USR61809,Arjun Chander,JAWRM6042P,432985168205,,Lucknow,Uttar Pradesh,13796.0,Freelancer,2025-07-31 01:04:55,VERIFIED,LOW
USR86464,Tanay Sinha,HCUCZ8229X,446687716426,1985-12-29 21:02:19,Ludhiana,Punjab,12686.0,Business Owner,2026-01-05 00:00:00,VERIFIED,MEDIUM
USR29929,Yamini Kade,BZKKN4437J,025396904187,1978-02-20 00:00:00,Lucknow,Uttar Pradesh,,Business Owner,2025-09-16 00:00:00,PENDING,LOW
USR75086,Caleb Mammen,JVXFL4848V,560545067480,2003-08-30 00:00:00,Ludhiana,Punjab,47600.0,Farmer,2025-04-11 21:28:00,PENDING,UNKNOWN
USR78743,Atharv Lall,GUHZF2370F,982856210452,1970-04-22 00:00:00,Jaipur,Rajasthan,18539.0,Self Employed,2024-12-24 00:00:00,PENDING,LOW
USR59316,Prisha Chander,XHBKR5403M,534910368969,1994-02-03 00:00:00,Ludhiana,Punjab,13300.0,Unemployed,2026-03-07 00:00:00,VERIFIED,LOW
USR90387,Aarna Devi,TFWBR0265R,,1988-07-02 00:00:00,Jaipur,Rajasthan,24127.0,Business Owner,2025-12-24 00:00:00,VERIFIED,LOW
USR18776,Pushti Sha,OGVKP1291Y,,1966-08-08 00:00:00,Hyderabad,Telangana,,Student,2025-09-05 00:00:00,VERIFIED,LOW
USR13953,Mugdha Thaker,GJIRE9459M,851299154050,1997-02-11 00:00:00,Amritsar,Punjab,23495.0,Self Employed,2025-04-17 00:00:00,VERIFIED,LOW
USR33108,Ekavir Bal,CINIP4289D,866127906399,1979-09-18 10:30:00,Bengaluru,Karnataka,,Freelancer,2024-03-02 00:00:00,VERIFIED,LOW
USR71267,Noah Wable,WVMOD0360T,497610284249,1964-04-14 17:35:56,Bengaluru,Karnataka,20388.0,Student,2025-06-04 00:00:00,VERIFIED,LOW
USR82470,Owen Nair,DPRST6843S,645578891743,1972-07-30 00:00:00,Pune,Maharashtra,35891.0,Farmer,2025-06-25 00:00:00,PENDING,MEDIUM
USR91477,Ojas Kumer,AXMWY7954C,931168320493,1961-08-03 00:28:00,Ludhiana,Punjab,28545.0,Unemployed,2026-03-25 00:00:00,VERIFIED,LOW
USR86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10 02:43:51,Pune,Maharashtra,37338.0,Student,2024-04-02 00:00:00,VERIFIED,LOW
USR23635,Tanmayi Sunder,DRXCQ2579G,796306366826,,Lucknow,Uttar Pradesh,20317.0,Gig Worker,2024-08-08 15:30:14,VERIFIED,MEDIUM
USR63684,Vasana Naidu,FYYYZ4211T,413928195585,1974-04-11 00:00:00,Jalandhar,Punjab,39085.0,Freelancer,2025-11-30 20:37:22,VERIFIED,LOW
USR40151,Lipika Pant,ZCYWL1620R,459607504259,2004-11-12 14:21:56,Jalandhar,Punjab,13296.0,Student,,VERIFIED,LOW
USR60198,Nihal Sunder,GMKIH3940L,167222122123,1992-04-06 11:00:00,Bengaluru,Karnataka,39252.0,Student,2025-07-17 00:00:00,VERIFIED,LOW
